;Codigo;Nome;Preco R$;VolumeMedio;DividendYield %;PatrimonioLiq R$;P/VP;Cotas;Segmento;Valorizacao12Meses
VILG11;VILG11;VINCI LOGÍSTICA FDO INV IMOB - FII; 110,02;934;0,71; 77.000;1,03;717.200;Logística;0.0
VISC11;VISC11;VINCI SHOPPING CENTERS FDO INVEST IMOB - FII; 104,16;21.741;0,46; 820.000;1,03;3.215.033;Shoppings;0.03
VLOL11;VLOL11;FDO INV IMOB - FII VILA OLÍMPIA CORPORATE; 98,96;2.941;0,32; 150.000;1,16;1.784.828;Lajes Corporativas;0.14
VOTS11;VOTS11;VOTORANTIM SECURITIES MASTER FDO INV IMOB - FII; 86,95;129;0,45; 81.000;0,89;827.913;Títulos e Val. Mob.;0.0
VRTA11;VRTA11;FATOR VERITA FDO INV IMOB - FII; 134,99;5.782;0,79; 230.000;1,33;28.941.930;Títulos e Val. Mob.;-0.02
VSHO11;VSHO11;FDO INV IMOB VOTORANTIM SHOPPING; 100,60;675;0,59; 210.000;0,99;2.098.800;Shoppings;0.0
VTLT11;VTLT11;FDO INV IMOB VOTORANTIM LOGISTICA; 100,01;3.478;0,68; 210.000;1,03;2.115.000;Logística;0.0
WPLZ11;WPLZ11;FDO INV IMOB - FII SHOPPING WEST PLAZA; 80,49;472;0,56; 79.000;1,01;989.339;Shoppings;-0.04
XPCM11;XPCM11;XP CORPORATE MACAÉ FDO INV IMOB - FII; 92,81;6.620;0,89; 200.000;1,12;2.414.570;Lajes Corporativas;0.04
XPIN11;XPIN11;XP INDUSTRIAL FDO INV IMOB - FII; 114,00;4.816;0,56; 250.000;1,01;1.593.037;Outros;0.0
XPLG11;XPLG11;XP LOG FDO INV IMOB - FII; 100,60;13.846;0,67; 370.000;1,01;3.661.150;Logística;0.0
XPML11;XPML11;XP MALLS FDO INV IMOB FII; 106,19;37.871;0,50; 950.000;1,06;3.750.000;Shoppings;0.05
XTED11;XTED11;TRX EDIFÍCIOS CORPORATIVOS FDO INV IMOB - FII; 6,29;5.329;0,00; 26.000;0,43;1.467.000;Lajes Corporativas;-0.49
